"Condition","Surgical","Nonsurgical"
"Small bowel infarction due to herniation, volvulus or adhesions","1.2.8.30.11","2.2.8.30.11"
"Portal hypertension","1.2.8.30.12","2.2.8.30.12"
"Traumatic damage to renal vessels","1.2.8.38.1","2.2.8.38.1"
"Traumatic damage to splanchnic vessels","1.2.8.38.2","2.2.8.38.2"
"Instrumental damage to renal or splanchnic vessels","1.2.8.38.3","2.2.8.38.3"
"Extracranial or neck arterio-venous malformation or haemangioma","1.2.9.8.1","2.2.9.8.1"
"Carotid or vertebral artery aneurysm or dissection","1.2.9.11.1","2.2.9.11.1"
"Epistaxis","1.2.9.15.1","2.2.9.15.1"
"Carotid or vertebral artery stenosis or occlusion","1.2.9.30.1","2.2.9.30.1"
"Traumatic rupture or puncture of carotid or vertebral artery","1.2.9.38.1","2.2.9.38.1"
"Instrumental damage to carotid or vertebral artery","1.2.9.38.2","2.2.9.38.2"
"Upper limb artery aneurysm or dissection","1.2.10.11.1","2.2.10.11.1"
"Lower limb artery aneurysm or dissection","1.2.10.11.2","2.2.10.11.2"
"Bleeding from limb vessel","1.2.10.15.1","2.2.10.15.1"
"Upper limb artery stenosis or occlusion","1.2.10.30.1","2.2.10.30.1"
"Lower limb artery stenosis or occlusion","1.2.10.30.2","2.2.10.30.2"
"Upper limb embolus","1.2.10.30.3","2.2.10.30.3"
"Lower limb embolus","1.2.10.30.4","2.2.10.30.4"
"Traumatic rupture or puncture of upper limb artery","1.2.10.38.1","2.2.10.38.1"
"Traumatic rupture or puncture of lower limb artery","1.2.10.38.2","2.2.10.38.2"
"Instrumental damage to limb artery","1.2.10.38.3","2.2.10.38.3"
"Infected thrombophlebitis of the great veins","1.2.11.27.1","2.2.11.27.1"
"Infected intravenous catheter in the great veins","1.2.11.27.2","2.2.11.27.2"
"Superior vena caval obstruction or thrombosis","1.2.11.30.1","2.2.11.30.1"
"Inferior vena caval obstruction or thrombosis","1.2.11.30.2","2.2.11.30.2"
"Superior vena caval damage","1.2.11.38.1","2.2.11.38.1"
"Traumatic inferior vena caval damage","1.2.11.38.2","2.2.11.38.2"
"Infected thrombophlebitis of the peripheral veins","1.2.12.27.1","2.2.12.27.1"
"Infected intravenous catheter in the peripheral veins","1.2.12.27.2","2.2.12.27.2"
"Infected arterio-venous shunt or fistula","1.2.12.27.3","2.2.12.27.3"
"Hypovolaemic shock","1.2.12.35.1","2.2.12.35.1"
"Septic shock","1.2.12.35.2","2.2.12.35.2"
"Anaphylaxis","1.2.12.35.3","2.2.12.35.3"
"Cardiogenic shock","1.2.12.35.4","2.2.12.35.4"
"Accelerated or malignant hypertension","1.2.12.19.1","2.2.12.19.1"
"Essential hypertension","1.2.12.19.2","2.2.12.19.2"
"Phaeochromocytoma","1.2.12.19.3","2.2.12.19.3"
"HELLP syndrome","1.2.12.19.4","2.2.12.19.4"
"Pre-eclampsia","1.2.12.19.5","2.2.12.19.5"
"Coarctation of the aorta","1.2.12.19.6","2.2.12.19.6"
"Anomalous pulmonary venous drainage","1.2.13.8.1","2.2.13.8.1"
"Pulmonary arterio-venous malformations","1.2.13.8.2","2.2.13.8.2"
"Transposition of great arteries","1.2.13.8.3","2.2.13.8.3"
"Patent ductus arteriosus","1.2.13.8.4","2.2.13.8.4"
"Truncus arteriosus","1.2.13.8.5","2.2.13.8.5"
"Goodpasture's syndrome","1.2.13.15.1","2.2.13.15.1"
"Pulmonary vasculitis not defined","1.2.13.15.2","2.2.13.15.2"
"Leptospirosis","1.2.13.15.3","2.2.13.15.3"
"Pulmonary haemorrhage due to contusion","1.2.13.15.4","2.2.13.15.4"
"Idiopathic pulmonary hypertension","1.2.13.19.1","2.2.13.19.1"
"Eisenmenger's syndrome","1.2.13.19.2","2.2.13.19.2"
"Cor pulmonale","1.2.13.19.3","2.2.13.19.3"
"Goodpasture's syndrome","1.2.13.28.1","2.2.13.28.1"
"Pulmonary vasculitis not defined","1.2.13.28.2","2.2.13.28.2"
"Pulmonary embolus (thrombus)","1.2.13.30.1","2.2.13.30.1"
"Fat embolus","1.2.13.30.2","2.2.13.30.2"
"Venous air embolus","1.2.13.30.3","2.2.13.30.3"
"Pulmonary tumour embolus","1.2.13.30.4","2.2.13.30.4"
"Amniotic fluid embolus","1.2.13.30.5","2.2.13.30.5"
"Traumatic damage to pulmonary vessels","1.2.13.38.1","2.2.13.38.1"
"Instrumental damage to pulmonary vessels","1.2.13.38.2","2.2.13.38.2"
"Meconium ileus","1.3.4.30.3","2.3.4.30.3"
"Non-traumatic duodenal rupture","1.3.4.38.1","2.3.4.38.1"
"Traumatic duodenal rupture","1.3.4.38.2","2.3.4.38.2"
"Instrumental damage to duodenum","1.3.4.38.3","2.3.4.38.3"
"Duodenal perforation due to ulcers","1.3.4.38.4","2.3.4.38.4"
"Leaking duodenal anastomosis","1.3.4.38.5","2.3.4.38.5"
"Duodeno-vascular fistula","1.3.4.38.6","2.3.4.38.6"
"Duodenal fistula","1.3.4.38.7","2.3.4.38.7"
"Duodenal or ampullary tumour","1.3.4.39.1","2.3.4.39.1"
"Entero-vascular fistula","1.3.5.15.1","2.3.5.15.1"
"Small bowel arterio-venous malformation","1.3.5.15.2","2.3.5.15.2"
"Infective enteritides","1.3.5.27.1","2.3.5.27.1"
"Necrotising enterocolitis","1.3.5.27.2","2.3.5.27.2"
"Crohn's disease of small bowel","1.3.5.28.1","2.3.5.28.1"
"Inflammatory perforation of small bowel","1.3.5.28.2","2.3.5.28.2"
"Small bowel herniation","1.3.5.30.1","2.3.5.30.1"
"Small bowel volvulus","1.3.5.30.2","2.3.5.30.2"
"Small bowel adhesions","1.3.5.30.3","2.3.5.30.3"
"Small bowel intussusception","1.3.5.30.4","2.3.5.30.4"
"Small bowel tumour","1.3.5.30.5","2.3.5.30.5"
"Small bowel inflammatory masses","1.3.5.30.6","2.3.5.30.6"
"Non-traumatic small bowel perforation","1.3.5.38.1","2.3.5.38.1"
"Traumatic small bowel perforation","1.3.5.38.2","2.3.5.38.2"
"Instrumental damage to small bowel","1.3.5.38.3","2.3.5.38.3"
"Leaking small bowel anastomosis","1.3.5.38.4","2.3.5.38.4"
"Entero-enteric or entero-cutaneous fistula","1.3.5.38.5","2.3.5.38.5"
"Small bowel tumour","1.3.5.39.1","2.3.5.39.1"
"Visceral artery stenosis or occlusion","1.3.5.41.1","2.3.5.41.1"
"Visceral artery embolism","1.3.5.41.2","2.3.5.41.2"
"Visceral infarction due to primary vascular disease","1.3.5.41.3","2.3.5.41.3"
"Small bowel infarction due to herniation, volvulus or adhesions","1.3.5.41.4","2.3.5.41.4"
"Imperforate anus or rectum","1.3.6.8.1","2.3.6.8.1"
"Hirschsprung's disease","1.3.6.8.2","2.3.6.8.2"
"Colonic or rectal bleeding","1.3.6.15.1","2.3.6.15.1"
"Colo-vascular fistula","1.3.6.15.2","2.3.6.15.2"
"Infective colitis or proctocolitis","1.3.6.27.1","2.3.6.27.1"
"Necrotising enterocolitis","1.3.6.27.2","2.3.6.27.2"
"Diverticulitis or diverticular abscess","1.3.6.27.3","2.3.6.27.3"
"Appendicitis or appendix abscess","1.3.6.27.4","2.3.6.27.4"
"Crohn's disease of large bowel, rectum or anus","1.3.6.28.1","2.3.6.28.1"
"Ulcerative colitis","1.3.6.28.2","2.3.6.28.2"
"Toxic dilatation of large bowel","1.3.6.28.3","2.3.6.28.3"
"Diverticulitis or diverticular abscess","1.3.6.28.4","2.3.6.28.4"
"Appendicitis or appendix abscess","1.3.6.28.5","2.3.6.28.5"
"Ischaemic colitis","1.3.6.28.6","2.3.6.28.6"
"Large bowel herniation","1.3.6.30.1","2.3.6.30.1"
"Large bowel volvulus","1.3.6.30.2","2.3.6.30.2"
"Large bowel adhesions","1.3.6.30.3","2.3.6.30.3"
"Large bowel intussusception or prolapse","1.3.6.30.4","2.3.6.30.4"
"Large bowel tumour","1.3.6.30.5","2.3.6.30.5"
"Large bowel inflammatory masses","1.3.6.30.6","2.3.6.30.6"
"Non-traumatic large bowel perforation or rupture","1.3.6.38.1","2.3.6.38.1"
"Traumatic large bowel perforation or rupture","1.3.6.38.2","2.3.6.38.2"
"Instrumental damage to large bowel","1.3.6.38.3","2.3.6.38.3"
"Leaking large bowel anastomosis","1.3.6.38.4","2.3.6.38.4"
"Large bowel fistula","1.3.6.38.5","2.3.6.38.5"
"Non-accidental injury to large bowel, rectum or anus","1.3.6.38.6","2.3.6.38.6"
"Large bowel tumour","1.3.6.39.1","2.3.6.39.1"
"Large bowel artery stenosis or occlusion","1.3.6.41.1","2.3.6.41.1"
"Large bowel artery embolization","1.3.6.41.2","2.3.6.41.2"
"Large bowel infarction due to primary vascular disease","1.3.6.41.3","2.3.6.41.3"
"Large bowel infarction due to herniation, volvulus or adhesions","1.3.6.41.4","2.3.6.41.4"
"Ischaemic colitis","1.3.6.41.5","2.3.6.41.5"
"Biliary atresia","1.3.7.8.1","2.3.7.8.1"
"Cholelithiasis","1.3.7.8.2","2.3.7.8.2"
"Cystic liver disease","1.3.7.8.3","2.3.7.8.3"
"Variceal bleeding","1.3.7.15.1","2.3.7.15.1"
"Spontaneous subcapsular haematoma","1.3.7.15.2","2.3.7.15.2"
"Bleeding from the biliary tree","1.3.7.15.3","2.3.7.15.3"
"Acute cholecystitis, gangrenous gall bladder, or empyema of gall bladder","1.3.7.27.1","2.3.7.27.1"
"Infective hepatitis","1.3.7.27.2","2.3.7.27.2"
"Infective cholangitis","1.3.7.27.3","2.3.7.27.3"
"Hepatic abscess","1.3.7.27.4","2.3.7.27.4"
"Hydatid disease","1.3.7.27.5","2.3.7.27.5"
"Leptospirosis","1.3.7.27.6","2.3.7.27.6"
"Acute cholecystitis, gangrenous gall bladder, or empyema of gall bladder","1.3.7.28.1","2.3.7.28.1"
"Alcoholic cirrhosis","1.3.7.28.2","2.3.7.28.2"
"Acute alcoholic hepatitis","1.3.7.28.3","2.3.7.28.3"
"Drug induced hepatitis or hepatic necrosis","1.3.7.28.4","2.3.7.28.4"
"Chronic cirrhosis cause not defined","1.3.7.28.5","2.3.7.28.5"
"Sclerosing cholangitis","1.3.7.28.6","2.3.7.28.6"
"Reye's or Reye-like syndrome ","1.3.7.28.7","2.3.7.28.7"
"Biliary tree obstruction","1.3.7.30.1","2.3.7.30.1"
"Biliary atresia","1.3.7.30.2","2.3.7.30.2"
"Sclerosing cholangitis","1.3.7.30.3","2.3.7.30.3"
"Cholelithiasis","1.3.7.30.4","2.3.7.30.4"
"Traumatic rupture or laceration of liver","1.3.7.38.1","2.3.7.38.1"
"Perforated biliary tree or gall bladder","1.3.7.38.2","2.3.7.38.2"
"Instrumental damage to liver or biliary tree","1.3.7.38.3","2.3.7.38.3"
"Hepatic artery aneurysm","1.3.7.38.4","2.3.7.38.4"
"Biliary fistula","1.3.7.38.5","2.3.7.38.5"
"Leaking biliary anastamosis","1.3.7.38.6","2.3.7.38.6"
"Liver transplant","1.3.7.37.1","2.3.7.37.1"
"Liver transplant rejection","1.3.7.37.2","2.3.7.37.2"
"Primary hepatic tumour","1.3.7.39.1","2.3.7.39.1"
"Secondary hepatic tumour","1.3.7.39.2","2.3.7.39.2"
"Biliary tree tumour","1.3.7.39.3","2.3.7.39.3"
"Carcinoid tumour","1.3.7.39.4","2.3.7.39.4"
"Gangrenous gall bladder","1.3.7.41.1","2.3.7.41.1"
"Portal vein occlusion or thrombosis","1.3.7.41.2","2.3.7.41.2"
"Hepatic vein occlusion or thrombosis","1.3.7.41.3","2.3.7.41.3"
"Hepatic artery aneurysm","1.3.7.41.4","2.3.7.41.4"
"Hepatic infarction","1.3.7.41.5","2.3.7.41.5"
"Portal hypertension","1.3.7.41.6","2.3.7.41.6"
"Traumatic rupture or laceration of spleen","1.3.8.38.1","2.3.8.38.1"
"Spontaneous splenic rupture","1.3.8.38.2","2.3.8.38.2"
"Hypersplenism","1.3.8.39.1","2.3.8.39.1"
"Lymphoma","1.3.8.39.2","2.3.8.39.2"
"Pancreatic bleeding","1.3.9.15.1","2.3.9.15.1"
"Pancreatic abscess or infected pseudocyst","1.3.9.27.1","2.3.9.27.1"
"Infective pancreatitis","1.3.9.27.2","2.3.9.27.2"
"Acute pancreatitis","1.3.9.28.1","2.3.9.28.1"
"Chronic pancreatitis","1.3.9.28.2","2.3.9.28.2"
"Traumatic pancreatitis or pancreatic damage","1.3.9.38.1","2.3.9.38.1"
"Instrumental damage to pancreatic duct","1.3.9.38.2","2.3.9.38.2"
"Pancreatic fistula","1.3.9.38.3","2.3.9.38.3"
"Pancreatic or pancreato-duodenal tumour","1.3.9.39.1","2.3.9.39.1"
"Exomphalos","1.3.10.8.1","2.3.10.8.1"
"Gastroschisis or exomphalos","1.3.10.8.2","2.3.10.8.2"
"Diaphragmatic hernia","1.3.10.8.3","2.3.10.8.3"
"Inguinal or femoral hernia","1.3.10.8.4","2.3.10.8.4"
"Hernia not defined","1.3.10.8.5","2.3.10.8.5"
"Retroperitoneal haemorrhage","1.3.10.15.1","2.3.10.15.1"
"Primary peritonitis","1.3.10.27.1","2.3.10.27.1"
"Intra-peritoneal abscess (not pelvic)","1.3.10.27.2","2.3.10.27.2"
"CAPD related peritonitis","1.3.10.27.3","2.3.10.27.3"
"Fournier's gangrene of abdominal wall","1.3.10.27.4","2.3.10.27.4"
"Necrotising fasciitis","1.3.10.27.5","2.3.10.27.5"
"Pelvic infection or abscess","1.3.10.27.6","2.3.10.27.6"
"Retroperitoneal abscess or infection","1.3.10.27.7","2.3.10.27.7"
"Tuberculous peritonitis","1.3.10.27.8","2.3.10.27.8"
"Trauma to abdominal wall","1.3.10.38.1","2.3.10.38.1"
"Abdominal wound dehiscence","1.3.10.38.2","2.3.10.38.2"
"Ruptured diaphragm","1.3.10.38.3","2.3.10.38.3"
"Primary retroperitoneal malignancy","1.3.10.39.1","2.3.10.39.1"
"Secondary retroperitoneal malignancy","1.3.10.39.2","2.3.10.39.2"
"Epistaxis","1.4.1.15.2","2.4.1.15.2"
"Mandible, facial bones, dental or salivary infection","1.4.1.27.1","2.4.1.27.1"
"Tonsil or pharyngeal infection","1.4.1.27.2","2.4.1.27.2"
"Orbital cellulitis","1.4.1.27.3","2.4.1.27.3"
"Mouth, mandible, pharynx, or facial bones trauma","1.4.1.38.1","2.4.1.38.1"
"Ocular trauma","1.4.1.38.2","2.4.1.38.2"
"Head or neck tumour not intra-oral or intra-cranial","1.4.1.39.1","2.4.1.39.1"
"Intra-oral or pharyngeal tumour","1.4.1.39.2","2.4.1.39.2"
"Ocular tumour","1.4.1.39.3","2.4.1.39.3"
"Carotid or vertebral artery stenosis or occlusion","1.4.1.41.1","2.4.1.41.1"
"Carotid or vertebral artery aneurysm or dissection","1.4.1.41.2","2.4.1.41.2"
"Traumatic rupture or puncture of carotid or vertebral artery","1.4.1.41.3","2.4.1.41.3"
"Instrumental damage to carotid or vertebral artery","1.4.1.41.4","2.4.1.41.4"
"Extracranial or neck arterio-venous malformation or haemangioma","1.4.1.41.5","2.4.1.41.5"
"Vasculitis of cerebral circulation","1.4.1.41.6","2.4.1.41.6"
"Vascular lesion of eyes","1.4.1.41.7","2.4.1.41.7"
"Toxic or drug-induced coma or encephalopathy","1.4.2.7.1","2.4.2.7.1"
"Metabolic coma or encephalopathy","1.4.2.7.2","2.4.2.7.2"
"Anoxic or ischaemic coma or encephalopathy","1.4.2.7.3","2.4.2.7.3"
"Degenerative coma or encephalopathy","1.4.2.7.4","2.4.2.7.4"
"Post-anaesthetic encephalopathy aetiology uncertain","1.4.2.7.5","2.4.2.7.5"
"Brainstem death","1.4.2.7.6","2.4.2.7.6"
"Primary brain injury","1.4.2.7.7","2.4.2.7.7"
"Reye's or Reye-like syndrome ","1.4.2.7.8","2.4.2.7.8"
"Congenital hydrocephalus","1.4.2.8.1","2.4.2.8.1"
"Secondary hydrocephalus","1.4.2.8.2","2.4.2.8.2"
"Arnold-Chiari malformation","1.4.2.8.3","2.4.2.8.3"
"Cerebral palsy","1.4.2.8.4","2.4.2.8.4"
"Congenital abnormality of skull","1.4.2.8.5","2.4.2.8.5"
"Parkinson's Disease","1.4.2.8.6","2.4.2.8.6"
"Multiple sclerosis","1.4.2.8.7","2.4.2.8.7"
"Central hypoventilation (Ondine's curse)","1.4.2.8.8","2.4.2.8.8"
"Intracerebral bleeding","1.4.2.15.1","2.4.2.15.1"
"Subarachnoid bleeding","1.4.2.15.2","2.4.2.15.2"
"Subdural haematoma","1.4.2.15.3","2.4.2.15.3"
"Extradural haematoma","1.4.2.15.4","2.4.2.15.4"
"Meningitis","1.4.2.27.1","2.4.2.27.1"
"Encephalitis","1.4.2.27.2","2.4.2.27.2"
"Intracranial abscess","1.4.2.27.3","2.4.2.27.3"
"Orbital cellulitis","1.4.2.27.4","2.4.2.27.4"
"Infected CSF shunt","1.4.2.27.5","2.4.2.27.5"
"Status epilepticus or uncontrolled seizures","1.4.2.33.1","2.4.2.33.1"
"Eclampsia","1.4.2.33.2","2.4.2.33.2"
"Alcohol withdrawal seizures","1.4.2.33.3","2.4.2.33.3"
"Primary brain injury","1.4.2.38.1","2.4.2.38.1"
"Subdural haematoma","1.4.2.38.2","2.4.2.38.2"
"Extradural haematoma","1.4.2.38.3","2.4.2.38.3"
"Non-accidental injury to brain","1.4.2.38.4","2.4.2.38.4"
"Primary brain or meningeal tumour","1.4.2.39.1","2.4.2.39.1"
"Secondary intracranial tumour","1.4.2.39.2","2.4.2.39.2"
"Berry or other intracranial aneurysm","1.4.2.41.1","2.4.2.41.1"
"Intracranial arterio-venous malformation","1.4.2.41.2","2.4.2.41.2"
"Thrombo-occlusive disease of brain","1.4.2.41.3","2.4.2.41.3"
"Arterial air embolus","1.4.2.41.4","2.4.2.41.4"
"Vasculitis of cerebral circulation","1.4.2.41.5","2.4.2.41.5"
"Embolic brain lesions causing respiratory failure","1.4.2.41.6","2.4.2.41.6"
"Spinal cord or nerve root compression by intervertebral disc","1.4.3.8.1","2.4.3.8.1"
"Spinal stenosis","1.4.3.8.2","2.4.3.8.2"
"Spina bifida or meningomyelcoele","1.4.3.8.3","2.4.3.8.3"
"Multiple sclerosis","1.4.3.8.4","2.4.3.8.4"
"Motor neurone disease","1.4.3.9.1","2.4.3.9.1"
"Transverse myelitis","1.4.3.9.2","2.4.3.9.2"
"Epidural injection or infusion","1.4.3.12.1","2.4.3.12.1"
"Spinal injection or infusion","1.4.3.12.2","2.4.3.12.2"
"Epidural or subdural abscess","1.4.3.27.1","2.4.3.27.1"
"Poliomyelitis","1.4.3.27.2","2.4.3.27.2"
"Tetanus","1.4.3.27.3","2.4.3.27.3"
"Cervical cord injury","1.4.3.38.1","2.4.3.38.1"
"Thoracic cord injury","1.4.3.38.2","2.4.3.38.2"
"Lumbar cord or cauda equina injury","1.4.3.38.3","2.4.3.38.3"
"Chronic spinal cord injury","1.4.3.38.4","2.4.3.38.4"
"Primary tumour of cord or meninges","1.4.3.39.1","2.4.3.39.1"
"Extrinsic compression of cord by non-neural tumour","1.4.3.39.2","2.4.3.39.2"
"Motor neurone disease","1.4.4.9.1","2.4.4.9.1"
"Infective polyneuropathy","1.4.4.27.1","2.4.4.27.1"
"Leprosy","1.4.4.27.2","2.4.4.27.2"
"Guillain-Barré syndrome","1.4.4.28.1","2.4.4.28.1"
"Toxic polyneuropathy","1.4.4.28.2","2.4.4.28.2"
"Autoimmune polyneuropathy","1.4.4.28.3","2.4.4.28.3"
"Porphyria","1.4.4.28.4","2.4.4.28.4"
"Brachial plexus injury","1.4.4.38.1","2.4.4.38.1"
"Lumbar plexus injury","1.4.4.38.2","2.4.4.38.2"
"Pseudocholinesterase deficiency","1.4.5.8.1","2.4.5.8.1"
"Failure of reversal of non-depolarising neuromuscular blockers","1.4.5.8.2","2.4.5.8.2"
"Myasthenia gravis","1.4.5.8.3","2.4.5.8.3"
"Traumatic pancreatitis or pancreatic damage","1.5.3.9.1","2.5.3.9.1"
"Instrumental damage to pancreatic duct","1.5.3.9.2","2.5.3.9.2"
"Trauma to abdominal wall","1.5.3.10.1","2.5.3.10.1"
"Ruptured diaphragm","1.5.3.10.3","2.5.3.10.3"
"Mouth, mandible, pharynx, or facial bones trauma","1.5.4.1.1","2.5.4.1.1"
"Ocular trauma","1.5.4.1.2","2.5.4.1.2"
"Primary brain injury","1.5.4.2.1","2.5.4.2.1"
"Subdural haematoma","1.5.4.2.2","2.5.4.2.2"
"Extradural haematoma","1.5.4.2.3","2.5.4.2.3"
"Non-accidental injury to brain","1.5.4.2.4","2.5.4.2.4"
"Cervical cord injury","1.5.4.3.1","2.5.4.3.1"
"Thoracic cord injury","1.5.4.3.2","2.5.4.3.2"
"Lumbar cord or cauda equina injury","1.5.4.3.3","2.5.4.3.3"
"Chronic spinal cord injury","1.5.4.3.4","2.5.4.3.4"
"Brachial plexus injury","1.5.4.4.1","2.5.4.4.1"
"Lumbar plexus injury","1.5.4.4.2","2.5.4.4.2"
"Traumatic renal rupture","1.5.5.1.1","2.5.5.1.1"
"Traumatic disruption of ureters","1.5.5.1.2","2.5.5.1.2"
"Traumatic damage to renal vessels","1.5.5.1.3","2.5.5.1.3"
"Instrumental damage to kidney, ureter or vessels","1.5.5.1.4","2.5.5.1.4"
"Traumatic perforation or rupture of bladder","1.5.5.2.1","2.5.5.2.1"
"Traumatic perforation or rupture of urethra","1.5.5.2.2","2.5.5.2.2"
"Instrumental damage to bladder or urethra","1.5.5.2.3","2.5.5.2.3"
"Uterine rupture or perforation","1.5.5.3.1","2.5.5.3.1"
"Instrumental damage to uterus, ovaries or fallopian tubes","1.5.5.3.2","2.5.5.3.2"
"Non-accidental injury to female genitalia ","1.5.5.3.3","2.5.5.3.3"
"Uterine rupture or perforation","1.5.5.4.1","2.5.5.4.1"
"Instrumental damage to uterus, ovaries or fallopian tubes","1.5.5.4.2","2.5.5.4.2"
"Traumatic damage to testes, prostrate or penis","1.5.5.5.1","2.5.5.5.1"
"Instrumental damage to testes, prostrate or penis","1.5.5.5.2","2.5.5.5.2"
"Non-accidental injury to male genitalia","1.5.5.5.3","2.5.5.5.3"
"Cervical spine fracture or ligamentous injury","1.5.6.1.1","2.5.6.1.1"
"Thoracic spine fracture or ligamentous injury","1.5.6.1.2","2.5.6.1.2"
"Lumbar spine fracture or ligamentous injury","1.5.6.1.3","2.5.6.1.3"
"Haemorrhage or haematoma from vertebral column","1.5.6.1.4","2.5.6.1.4"
"Pelvic fracture","1.5.6.2.1","2.5.6.2.1"
"Single long bone fracture","1.5.6.2.2","2.5.6.2.2"
"Multiple long bone fractures","1.5.6.2.3","2.5.6.2.3"
"Non-accidental injury to pelvis, long bones or joints","1.5.6.2.4","2.5.6.2.4"
"Haemorrhage or haematoma from pelvis, long bones or joints","1.5.6.2.5","2.5.6.2.5"
"Crush injury","1.5.6.3.1","2.5.6.3.1"
"Compartment syndrome","1.5.6.3.2","2.5.6.3.2"
"Non-accidental injury to muscles or connective tissue","1.5.6.3.3","2.5.6.3.3"
"Haemorrhage or haematoma from muscles or connective tissue","1.5.6.3.4","2.5.6.3.4"
"Non-accidental injury to muscles or connective tissue","1.5.6.3.5","2.5.6.3.5"
"Amputation of limb","1.5.6.3.6","2.5.6.3.6"
"Electrical burns","1.5.7.1.1","2.5.7.1.1"
"Burns caused by dry heat","1.5.7.1.2","2.5.7.1.2"
