"Condition","Surgical","Nonsurgical"
"Degloving injury","1.5.7.1.3","2.5.7.1.3"
"Non-accidental injury to skin","1.5.7.1.4","2.5.7.1.4"
"Accidental poisoning with sedatives or hypnotics","1.6.8.1.1","2.6.8.1.1"
"Accidental poisoning with narcotics","1.6.8.1.2","2.6.8.1.2"
"Accidental poisoning with tri- and tetracyclic antidepressants","1.6.8.1.3","2.6.8.1.3"
"Accidental poisoning with non-cyclic antidepressants","1.6.8.1.4","2.6.8.1.4"
"Accidental poisoning with cardiovascular drugs","1.6.8.1.5","2.6.8.1.5"
"Accidental poisoning with aspirin","1.6.8.1.6","2.6.8.1.6"
"Accidental poisoning with paracetamol","1.6.8.1.7","2.6.8.1.7"
"Accidental poisoning with industrial or agricultural chemicals","1.6.8.1.8","2.6.8.1.8"
"Accidental poisoning with insulin","1.6.8.1.9","2.6.8.1.9"
"Accidental poisoning with alcohol","1.6.8.1.10","2.6.8.1.10"
"Accidental poisoning with carbon monoxide","1.6.8.1.11","2.6.8.1.11"
"Accidental poisoning with gases (not carbon monoxide)","1.6.8.1.12","2.6.8.1.12"
"Accidental poisoning with agent not defined","1.6.8.1.13","2.6.8.1.13"
"Self poisoning with sedatives or hypnotics","1.6.8.34.1","2.6.8.34.1"
"Self poisoning with narcotics","1.6.8.34.2","2.6.8.34.2"
"Self poisoning with tri- and tetracyclic antidepressants","1.6.8.34.3","2.6.8.34.3"
"Self poisoning with non-cyclic antidepressants","1.6.8.34.4","2.6.8.34.4"
"Self poisoning with cardiovascular drugs ","1.6.8.34.5","2.6.8.34.5"
"Self poisoning with aspirin","1.6.8.34.6","2.6.8.34.6"
"Self poisoning with paracetamol","1.6.8.34.7","2.6.8.34.7"
"Self poisoning with industrial or agricultural chemicals","1.6.8.34.8","2.6.8.34.8"
"Self poisoning with insulin","1.6.8.34.9","2.6.8.34.9"
"Self poisoning with alcohol","1.6.8.34.10","2.6.8.34.10"
"Self poisoning with carbon monoxide","1.6.8.34.11","2.6.8.34.11"
"Self poisoning with gases (not carbon monoxide)","1.6.8.34.12","2.6.8.34.12"
"Self poisoning with agent not defined","1.6.8.34.13","2.6.8.34.13"
"Polycystic kidneys","1.7.1.8.1","2.7.1.8.1"
"Renal agenesis or hypoplasia","1.7.1.8.2","2.7.1.8.2"
"Nephrolithiasis","1.7.1.8.3","2.7.1.8.3"
"Acute renal failure due to infection","1.7.1.13.1","2.7.1.13.1"
"Acute renal failure due to haemodynamic causes","1.7.1.13.2","2.7.1.13.2"
"Acute renal failure due to toxic or drug causes","1.7.1.13.3","2.7.1.13.3"
"Acute renal failure other causes","1.7.1.13.4","2.7.1.13.4"
"Chronic renal failure","1.7.1.13.5","2.7.1.13.5"
"Retroperitoneal haemorrhage","1.7.1.15.1","2.7.1.15.1"
"Traumatic damage to renal vessels","1.7.1.15.2","2.7.1.15.2"
"Renal artery aneurysm or dissection","1.7.1.15.3","2.7.1.15.3"
"Pyelonephritis or pyonephrosis","1.7.1.27.1","2.7.1.27.1"
"Perinephric abscess","1.7.1.27.2","2.7.1.27.2"
"Leptospirosis","1.7.1.27.3","2.7.1.27.3"
"CAPD related peritonitis","1.7.1.27.4","2.7.1.27.4"
"Glomerulonephritis","1.7.1.28.1","2.7.1.28.1"
"Nephrotic syndrome","1.7.1.28.2","2.7.1.28.2"
"Renal vasculitis","1.7.1.28.3","2.7.1.28.3"
"Ureteric or renal obstruction","1.7.1.30.1","2.7.1.30.1"
"Allograft","1.7.1.37.1","2.7.1.37.1"
"Autotransplant of kidney","1.7.1.37.2","2.7.1.37.2"
"Rejection of kidney transplant","1.7.1.37.3","2.7.1.37.3"
"Traumatic renal rupture","1.7.1.38.1","2.7.1.38.1"
"Traumatic disruption of ureters","1.7.1.38.2","2.7.1.38.2"
"Traumatic damage to renal vessels","1.7.1.38.3","2.7.1.38.3"
"Instrumental damage to kidney, ureter or vessels","1.7.1.38.4","2.7.1.38.4"
"Renal or ureteric tumour","1.7.1.39.1","2.7.1.39.1"
"Renal artery stenosis or occlusion","1.7.1.41.1","2.7.1.41.1"
"Renal artery aneurysm or dissection","1.7.1.41.2","2.7.1.41.2"
"Renal artery embolus","1.7.1.41.3","2.7.1.41.3"
"Renal infarction","1.7.1.41.4","2.7.1.41.4"
"Retroperitoneal haemorrhage","1.7.1.41.5","2.7.1.41.5"
"Traumatic damage to renal vessels","1.7.1.41.6","2.7.1.41.6"
"Renal vasculitis","1.7.1.41.7","2.7.1.41.7"
"Abnormality of bladder or urinary diversion procedure","1.7.2.8.1","2.7.2.8.1"
"Abnormality of urethra","1.7.2.8.2","2.7.2.8.2"
"Haemorrhage from urethra","1.7.2.15.1","2.7.2.15.1"
"Haemorrhage from bladder","1.7.2.15.2","2.7.2.15.2"
"Cystitis, pyocystis or urethritis","1.7.2.27.1","2.7.2.27.1"
"Bladder outlet obstruction","1.7.2.30.1","2.7.2.30.1"
"Traumatic perforation or rupture of bladder","1.7.2.38.1","2.7.2.38.1"
"Traumatic perforation or rupture of urethra","1.7.2.38.2","2.7.2.38.2"
"Instrumental damage to bladder or urethra","1.7.2.38.3","2.7.2.38.3"
"Bladder tumour","1.7.2.39.1","2.7.2.39.1"
"Urethral tumour","1.7.2.39.2","2.7.2.39.2"
"Haemorrhage from uterus","1.7.3.15.1","2.7.3.15.1"
"Haemorrhage from ovary or fallopian tubes","1.7.3.15.2","2.7.3.15.2"
"Uterine cavity infection","1.7.3.27.1","2.7.3.27.1"
"Pelvic infection or abscess","1.7.3.27.2","2.7.3.27.2"
"Toxic shock syndrome","1.7.3.27.3","2.7.3.27.3"
"Tubo-ovarian abscess","1.7.3.27.4","2.7.3.27.4"
"Ovarian hyperstimulation","1.7.3.32.1","2.7.3.32.1"
"Uterine rupture or perforation","1.7.3.38.1","2.7.3.38.1"
"Instrumental damage to uterus, ovaries or fallopian tubes","1.7.3.38.2","2.7.3.38.2"
"Non-accidental injury to female genitalia ","1.7.3.38.3","2.7.3.38.3"
"Ovarian tumour","1.7.3.39.1","2.7.3.39.1"
"Uterine tumour","1.7.3.39.2","2.7.3.39.2"
"Vulval or vaginal tumour","1.7.3.39.3","2.7.3.39.3"
"Ovarian cyst","1.7.3.39.4","2.7.3.39.4"
"Antepartum haemorrhage","1.7.4.15.1","2.7.4.15.1"
"Peri- and postpartum haemorrhage","1.7.4.15.2","2.7.4.15.2"
"Ectopic pregnancy","1.7.4.15.3","2.7.4.15.3"
"Amnionitis","1.7.4.27.1","2.7.4.27.1"
"Pelvic infection or abscess","1.7.4.27.2","2.7.4.27.2"
"Infected retained products of conception","1.7.4.27.3","2.7.4.27.3"
"Septic abortion","1.7.4.27.4","2.7.4.27.4"
"Intrauterine death","1.7.4.28.1","2.7.4.28.1"
"Ovarian hyperstimulation","1.7.4.32.1","2.7.4.32.1"
"Uterine rupture or perforation","1.7.4.38.1","2.7.4.38.1"
"Instrumental damage to uterus, ovaries or fallopian tubes","1.7.4.38.2","2.7.4.38.2"
"Molar pregnancy","1.7.4.39.1","2.7.4.39.1"
"Amniotic fluid embolus","1.7.4.41.1","2.7.4.41.1"
"HELLP syndrome","1.7.4.41.2","2.7.4.41.2"
"Pre-eclampsia","1.7.4.41.3","2.7.4.41.3"
"Bleeding from prostate gland","1.7.5.15.1","2.7.5.15.1"
"Prostatitis","1.7.5.27.1","2.7.5.27.1"
"Testicular, prostatatic or penile abscess","1.7.5.27.2","2.7.5.27.2"
"Fournier's gangrene of perineal tissues","1.7.5.27.3","2.7.5.27.3"
"Traumatic damage to testes, prostrate or penis","1.7.5.38.1","2.7.5.38.1"
"Instrumental damage to testes, prostrate or penis","1.7.5.38.2","2.7.5.38.2"
"Non-accidental injury to male genitalia","1.7.5.38.3","2.7.5.38.3"
"Testicular or penile tumour","1.7.5.39.1","2.7.5.39.1"
"Benign prostatic hyperplasia","1.7.5.39.2","2.7.5.39.2"
"Malignant prostatic tumour","1.7.5.39.3","2.7.5.39.3"
"Thyroid cysts","1.8.1.8.1","2.8.1.8.1"
"Haemorrhage into or from thyroid","1.8.1.15.1","2.8.1.15.1"
"Hyperthyroidism","1.8.1.32.1","2.8.1.32.1"
"Thyroid crisis","1.8.1.32.2","2.8.1.32.2"
"Thyroid tumour","1.8.1.39.1","2.8.1.39.1"
"Hypothyroidism or myxoedema","1.8.1.40.1","2.8.1.40.1"
"Pituitary haemorrhage","1.8.2.15.1","2.8.2.15.1"
"Cushing's syndrome","1.8.2.32.1","2.8.2.32.1"
"Acromegaly","1.8.2.32.2","2.8.2.32.2"
"Prolactinoma","1.8.2.32.3","2.8.2.32.3"
"Cushing's syndrome","1.8.2.39.1","2.8.2.39.1"
"Acromegaly","1.8.2.39.2","2.8.2.39.2"
"Prolactinoma","1.8.2.39.3","2.8.2.39.3"
"Pituitary tumour not defined","1.8.2.39.4","2.8.2.39.4"
"Diabetes insipidus (central)","1.8.2.40.1","2.8.2.40.1"
"Hypopituitarism","1.8.2.40.2","2.8.2.40.2"
"Inborn errors of adrenal function","1.8.3.8.1","2.8.3.8.1"
"Adrenal haemorrhage","1.8.3.15.1","2.8.3.15.1"
"Cushing's syndrome","1.8.3.32.1","2.8.3.32.1"
"Phaeochromocytoma","1.8.3.39.1","2.8.3.39.1"
"Adrenocortical tumours","1.8.3.39.2","2.8.3.39.2"
"Addison's disease","1.8.3.40.1","2.8.3.40.1"
"Islet cell transplant","1.8.4.37.1","2.8.4.37.1"
"Insulinoma","1.8.4.39.1","2.8.4.39.1"
"Diabetic ketoacidosis","1.8.4.10.1","2.8.4.10.1"
"Hyperosmolar coma","1.8.4.10.2","2.8.4.10.2"
"Hypoglycaemia due to insulin therapy","1.8.4.10.3","2.8.4.10.3"
"Insulinoma","1.8.4.10.4","2.8.4.10.4"
"Diabetes mellitus","1.8.4.10.5","2.8.4.10.5"
"Congenital hypoparathyroidism","1.8.5.8.1","2.8.5.8.1"
"Auto-immune hypoparathyroidism","1.8.5.8.2","2.8.5.8.2"
"Post-surgical hypoparathyroidism","1.8.5.8.3","2.8.5.8.3"
"Hypercalcaemia","1.8.5.32.1","2.8.5.32.1"
"Parathyroid tumour","1.8.5.39.1","2.8.5.39.1"
"Congenital hypoparathyroidism","1.8.5.40.1","2.8.5.40.1"
"Auto-immune hypoparathyroidism","1.8.5.40.2","2.8.5.40.2"
"Post-surgical hypoparathyroidism","1.8.5.40.3","2.8.5.40.3"
"Ovarian hyperstimulation","1.8.6.32.1","2.8.6.32.1"
"Ovarian tumour","1.8.6.39.1","2.8.6.39.1"
"Ovarian cyst","1.8.6.39.2","2.8.6.39.2"
"Malignant hyperpyrexia","1.8.7.20.1","2.8.7.20.1"
"Drug induced hyperpyrexia or neuroleptic malignant syndrome","1.8.7.20.2","2.8.7.20.2"
"Heat-stroke or heat exhaustion","1.8.7.20.3","2.8.7.20.3"
"Accidental hypothermia","1.8.7.26.1","2.8.7.26.1"
"Induced or post-operative hypothermia","1.8.7.26.2","2.8.7.26.2"
"Paraneoplastic hypercalcaemia","1.8.8.42.1","2.8.8.42.1"
"Vitamin D intoxication","1.8.8.42.2","2.8.8.42.2"
"Milk-alkali syndrome","1.8.8.42.3","2.8.8.42.3"
"Hypoparathyroidism","1.8.8.21.1","2.8.8.21.1"
"Chelating agent toxicity","1.8.8.21.2","2.8.8.21.2"
"Iatrogenic potassium intoxication","1.8.8.17.1","2.8.8.17.1"
"Renal failure","1.8.8.17.2","2.8.8.17.2"
"Familial periodic paralysis","1.8.8.17.3","2.8.8.17.3"
"Paraneoplastic hypokalaemia","1.8.8.23.1","2.8.8.23.1"
"Drug induced hypokalaemia","1.8.8.23.2","2.8.8.23.2"
"Renal hypokalaemia","1.8.8.23.3","2.8.8.23.3"
"Diabetes insipidus (central or nephrogenic)","1.8.8.18.1","2.8.8.18.1"
"Water depletion","1.8.8.18.2","2.8.8.18.2"
"Excess sodium intake","1.8.8.18.3","2.8.8.18.3"
"Water intoxication","1.8.8.24.1","2.8.8.24.1"
"Iatrogenic hyponatraemia","1.8.8.24.2","2.8.8.24.2"
"Paraneoplastic hyponatraemia","1.8.8.24.3","2.8.8.24.3"
"Diabetic ketoacidosis","1.8.8.16.1","2.8.8.16.1"
"Hyperosmolar states","1.8.8.16.2","2.8.8.16.2"
"Hypoglycaemia due to insulin therapy","1.8.8.22.1","2.8.8.22.1"
"Insulinoma","1.8.8.22.2","2.8.8.22.2"
"Hypoglycaemia not due to excess insulin","1.8.8.22.3","2.8.8.22.3"
"Hyperchloraemic acidosis","1.8.8.2.1","2.8.8.2.1"
"Lactic acidosis","1.8.8.2.2","2.8.8.2.2"
"Diabetic ketoacidosis","1.8.8.2.3","2.8.8.2.3"
"Gastric fluid loss","1.8.8.4.1","2.8.8.4.1"
"Alkali ingestion","1.8.8.4.2","2.8.8.4.2"
"Water intoxication","1.8.8.43.1","2.8.8.43.1"
"Excess parenteral fluids","1.8.8.43.2","2.8.8.43.2"
"Self poisoning with sedatives or hypnotics","1.8.8.34.1","2.8.8.34.1"
"Self poisoning with narcotics","1.8.8.34.2","2.8.8.34.2"
"Self poisoning with tri- and tetracyclic antidepressants","1.8.8.34.3","2.8.8.34.3"
"Self poisoning with non-cyclic antidepressants","1.8.8.34.4","2.8.8.34.4"
"Self poisoning with cardiovascular drugs ","1.8.8.34.5","2.8.8.34.5"
"Self poisoning with aspirin","1.8.8.34.6","2.8.8.34.6"
"Self poisoning with paracetamol","1.8.8.34.7","2.8.8.34.7"
"Self poisoning with industrial or agricultural chemicals","1.8.8.34.8","2.8.8.34.8"
"Self poisoning with insulin","1.8.8.34.9","2.8.8.34.9"
"Self poisoning with alcohol","1.8.8.34.10","2.8.8.34.10"
"Self poisoning with carbon monoxide","1.8.8.34.11","2.8.8.34.11"
"Self poisoning with gases (not carbon monoxide)","1.8.8.34.12","2.8.8.34.12"
"Self poisoning with agent not defined","1.8.8.34.13","2.8.8.34.13"
"Accidental poisoning with sedatives or hypnotics","1.8.8.1.1","2.8.8.1.1"
"Accidental poisoning with narcotics","1.8.8.1.2","2.8.8.1.2"
"Accidental poisoning with tri- and tetracyclic antidepressants","1.8.8.1.3","2.8.8.1.3"
"Accidental poisoning with non-cyclic antidepressants","1.8.8.1.4","2.8.8.1.4"
"Accidental poisoning with cardiovascular drugs","1.8.8.1.5","2.8.8.1.5"
"Accidental poisoning with aspirin","1.8.8.1.6","2.8.8.1.6"
"Accidental poisoning with paracetamol","1.8.8.1.7","2.8.8.1.7"
"Accidental poisoning with industrial or agricultural chemicals","1.8.8.1.8","2.8.8.1.8"
"Accidental poisoning with insulin","1.8.8.1.9","2.8.8.1.9"
"Accidental poisoning with alcohol","1.8.8.1.10","2.8.8.1.10"
"Accidental poisoning with carbon monoxide","1.8.8.1.11","2.8.8.1.11"
"Accidental poisoning with gases (not carbon monoxide)","1.8.8.1.12","2.8.8.1.12"
"Accidental poisoning with agent not defined","1.8.8.1.13","2.8.8.1.13"
"Snake bite","1.8.8.44.1","2.8.8.44.1"
"Envenomation other than snake","1.8.8.44.2","2.8.8.44.2"
"Alcohol overdose","1.8.8.3.1","2.8.8.3.1"
"Alcohol withdrawal seizures","1.8.8.3.2","2.8.8.3.2"
"Delerium tremens","1.8.8.3.3","2.8.8.3.3"
"Acute alcoholic hepatitis","1.8.8.3.4","2.8.8.3.4"
"Inborn errors of metabolism","1.8.10.45.1","2.8.10.45.1"
"Morbid obesity","1.8.9.29.1","2.8.9.29.1"
"Eating disorder","1.8.9.36.1","2.8.9.36.1"
"Trisomy 18 (Edward's syndrome)","1.8.11.53.1","2.8.11.53.1"
"Trisomy 21 (Down's syndrome)","1.8.11.53.2","2.8.11.53.2"
"Trisomy 13 (Patau or trisomy D)","1.8.11.53.3","2.8.11.53.3"
"Other trisomy","1.8.11.53.4","2.8.11.53.4"
"Chromosomal deletion syndromes (partial monosomy)","1.8.11.54.1","2.8.11.54.1"
"Turner's syndrome (XO)","1.8.11.46.1","2.8.11.46.1"
"Klinefelter's syndrome (XXY)","1.8.11.46.2","2.8.11.46.2"
"Other sex chromosome disorders","1.8.11.46.3","2.8.11.46.3"
"Contiguous gene syndromes","1.8.11.47.1","2.8.11.47.1"
"Anaemias","1.9.1.8.1","2.9.1.8.1"
"Polycythaemia","1.9.1.8.2","2.9.1.8.2"
"Porphyria","1.9.1.8.3","2.9.1.8.3"
"Sickle cell disease","1.9.1.8.4","2.9.1.8.4"
"Spherocytosis or stomatocytosis","1.9.1.8.5","2.9.1.8.5"
"Thalassaemia","1.9.1.8.6","2.9.1.8.6"
"Haemophilia or von Willebrand's disease","1.9.1.8.7","2.9.1.8.7"
"Autoimmume haemolysis","1.9.1.14.1","2.9.1.14.1"
"Drug induced haemolysis","1.9.1.14.2","2.9.1.14.2"
"Disseminated intravascular coagulation","1.9.1.14.3","2.9.1.14.3"
"Idiopathic thrombocytopaenic purpura","1.9.1.14.4","2.9.1.14.4"
"Drug induced thrombocytopaenia","1.9.1.14.5","2.9.1.14.5"
"Haemolytic or uraemic syndrome","1.9.1.14.6","2.9.1.14.6"
"Henoch-Schonlein purpura","1.9.1.14.7","2.9.1.14.7"
"Transfusion reaction","1.9.1.14.8","2.9.1.14.8"
"HELLP syndrome","1.9.1.14.9","2.9.1.14.9"
"Thrombotic thrombocytopaenic purpura","1.9.1.14.10","2.9.1.14.10"
"Leishmaniasis","1.9.1.27.1","2.9.1.27.1"
"Malaria","1.9.1.27.2","2.9.1.27.2"
"HIV","1.9.1.27.3","2.9.1.27.3"
"Septicaemia","1.9.1.27.4","2.9.1.27.4"
"Leptospirosis","1.9.1.27.5","2.9.1.27.5"
"Mononucleosis","1.9.1.27.6","2.9.1.27.6"
"Aplastic anaemia","1.9.2.25.1","2.9.2.25.1"
"Drug induced hypoplasia","1.9.2.25.2","2.9.2.25.2"
"Myelodysplasia","1.9.2.25.3","2.9.2.25.3"
"Bone marrow transplant","1.9.2.37.1","2.9.2.37.1"
"Graft vs Host disease","1.9.2.37.2","2.9.2.37.2"
"Acute lymphoblastic leukaemia","1.9.2.39.1","2.9.2.39.1"
"Acute myeloblastic leukaemia","1.9.2.39.2","2.9.2.39.2"
"Chronic lymphocytic leukaemia","1.9.2.39.3","2.9.2.39.3"
"Chronic myelogenous leukaemia","1.9.2.39.4","2.9.2.39.4"
"Hodgkin's lymphoma","1.9.2.39.5","2.9.2.39.5"
"Non-Hodgkin's lymphoma","1.9.2.39.6","2.9.2.39.6"
"Myeloma","1.9.2.39.7","2.9.2.39.7"
"Rheumatoid or osteoarthritis","1.10.1.8.1","2.10.1.8.1"
"Kyphoscoliosis","1.10.1.8.2","2.10.1.8.2"
"Spinal ankylosis","1.10.1.8.3","2.10.1.8.3"
"Spina bifida or meningomyelocele","1.10.1.8.4","2.10.1.8.4"
"Haemorrhage from or haematoma of vertebral column","1.10.1.15.1","2.10.1.15.1"
"Discitis","1.10.1.27.1","2.10.1.27.1"
"Osteomyelitis or vertebral abscess","1.10.1.27.2","2.10.1.27.2"
"Cervical spine fracture or ligamentous injury","1.10.1.38.1","2.10.1.38.1"
"Thoracic spine fracture or ligamentous injury","1.10.1.38.2","2.10.1.38.2"
"Lumbar spine fracture or ligamentous injury","1.10.1.38.3","2.10.1.38.3"
"Primary tumour in vertebral column","1.10.1.39.1","2.10.1.39.1"
"Secondary tumour in vertebral column","1.10.1.39.2","2.10.1.39.2"
"Rheumatoid or osteoarthritis","1.10.2.8.1","2.10.2.8.1"
"Haemorrhage from or haematoma of pelvis, long bones or joints","1.10.2.15.1","2.10.2.15.1"
"Osteomyelitis","1.10.2.27.1","2.10.2.27.1"
"Infective arthritis","1.10.2.27.2","2.10.2.27.2"
"Pelvic infection or abscess","1.10.2.27.3","2.10.2.27.3"
"Pelvic fracture","1.10.2.38.1","2.10.2.38.1"
"Single long bone fracture","1.10.2.38.2","2.10.2.38.2"
"Multiple long bone fractures","1.10.2.38.3","2.10.2.38.3"
"Non-accidental injury to pelvis, long bones or joints","1.10.2.38.4","2.10.2.38.4"
"Primary tumour of bone","1.10.2.39.1","2.10.2.39.1"
"Secondary tumour of bone","1.10.2.39.2","2.10.2.39.2"
"Congenital muscular dystrophy","1.10.3.8.1","2.10.3.8.1"
"Pseudocholinesterase deficiency","1.10.3.8.2","2.10.3.8.2"
"Myasthenia gravis","1.10.3.8.3","2.10.3.8.3"
"Degenerative myopathy","1.10.3.9.1","2.10.3.9.1"
"Haemorrhage from or haematoma of muscle or connective tissue","1.10.3.15.1","2.10.3.15.1"
"Compartment syndrome","1.10.3.15.2","2.10.3.15.2"
"Myositis","1.10.3.27.1","2.10.3.27.1"
"Necrotising fasciitis","1.10.3.27.2","2.10.3.27.2"
"Infective arthritis","1.10.3.27.3","2.10.3.27.3"
"Rhabdomyolysis","1.10.3.27.4","2.10.3.27.4"
"Abscess of muscle or connective tissue","1.10.3.27.5","2.10.3.27.5"
"Fournier's gangrene of perineal tissues","1.10.3.27.6","2.10.3.27.6"
"Polymyositis","1.10.3.28.1","2.10.3.28.1"
"Systemic lupus erythromatosis","1.10.3.28.2","2.10.3.28.2"
"Rhabdomyolysis","1.10.3.28.3","2.10.3.28.3"
"Myasthenia gravis","1.10.3.28.4","2.10.3.28.4"
"Rheumatoid arthritis","1.10.3.28.5","2.10.3.28.5"
"Systemic sclerosis","1.10.3.28.6","2.10.3.28.6"
"Vasculitis not defined","1.10.3.28.7","2.10.3.28.7"
"Crush injury","1.10.3.38.1","2.10.3.38.1"
"Compartment syndrome","1.10.3.38.2","2.10.3.38.2"
"Non-accidental injury to muscles or connective tissue","1.10.3.38.3","2.10.3.38.3"
"Amputation of limb","1.10.3.38.4","2.10.3.38.4"
"Primary or secondary tumour of muscle or connective tissue","1.10.3.39.1","2.10.3.39.1"
"Rhabdomyolysis","1.10.3.41.1","2.10.3.41.1"
"Compartment syndrome","1.10.3.41.2","2.10.3.41.2"
"Burns caused by dry heat","1.11.1.5.1","2.11.1.5.1"
"Steam burns or scalds","1.11.1.5.2","2.11.1.5.2"
"Electrical burns","1.11.1.5.3","2.11.1.5.3"
"Chemical burns","1.11.1.5.4","2.11.1.5.4"
"Cutaneous cellulitis","1.11.1.27.1","2.11.1.27.1"
"Toxic epidermal necrolysis","1.11.1.27.2","2.11.1.27.2"
"Necrotising fasciitis","1.11.1.27.3","2.11.1.27.3"
"Orbital cellulitis","1.11.1.27.4","2.11.1.27.4"
"Fournier's gangrene of perineal tissues","1.11.1.27.5","2.11.1.27.5"
"Leprosy","1.11.1.27.6","2.11.1.27.6"
"Exfoliative dermatitis","1.11.1.28.1","2.11.1.28.1"
"Pemphigus vulgaris","1.11.1.28.2","2.11.1.28.2"
"Psoriasis and pustular psoriasis","1.11.1.28.3","2.11.1.28.3"
"Toxic epidermal necrolysis","1.11.1.28.4","2.11.1.28.4"
"Erythema multiforme","1.11.1.28.5","2.11.1.28.5"
"Stevens-Johnson syndrome","1.11.1.28.6","2.11.1.28.6"
"Scleroderma","1.11.1.28.7","2.11.1.28.7"
"Degloving injury","1.11.1.38.1","2.11.1.38.1"
"Non-accidental injury to skin","1.11.1.38.2","2.11.1.38.2"
"Cutaneous melanoma","1.11.1.39.1","2.11.1.39.1"
"Basal cell carcinoma of skin","1.11.1.39.2","2.11.1.39.2"
"Carcinoma of breast","1.11.1.39.3","2.11.1.39.3"
"Alcohol dependence","1.12.1.48.1","2.12.1.48.1"
"Drug dependence","1.12.1.48.2","2.12.1.48.2"
"Delerium tremens","1.12.1.48.3","2.12.1.48.3"
"Depression","1.12.1.49.1","2.12.1.49.1"
"Mania or manic depression","1.12.1.49.2","2.12.1.49.2"
"Neurosis disorder","1.12.1.50.1","2.12.1.50.1"
"Personality disorder","1.12.1.50.2","2.12.1.50.2"
"Schizophrenia","1.12.1.51.1","2.12.1.51.1"
"Congenital mental handicap","1.12.1.52.1","2.12.1.52.1"
